,Date,City,County,State,latitude,longitude,o3_median,pressure_median,pm25_median,humidity_median,temperature_median,dew_median,no2_median,wind-speed_median,co_median,so2_median,pm10_median,wind-gust_median,day,month,year
164,1/4/2019,austin,travis,TX,30.28333333,-97.75064103,27.2,1023.8,19,59,9.5,0,0,0.2,0,0,0,1.5,4,1,2019
165,1/4/2019,baltimore,baltimo,MD,39.30583333,-76.61041667,32.8,1026.6,11,46,0.4,0,2.8,3.8,0,0,6,8.5,4,1,2019
166,1/4/2019,boise,ada,ID,43.60454545,-116.2024242,22.4,1020.3,13,58.2,10,0,0,1,3.3,1.5,15,3,4,1,2019
167,1/4/2019,boston,suffolk,MA,42.35128205,-71.06205128,30.4,1016.1,21,45.1,3.6,0,6.5,8.7,2,0,0,18.4,4,1,2019
168,1/4/2019,brooklyn,kings,NY,40.65326923,-73.95653846,195.3,1023.2,15,33.4,5,-9,6.9,5.5,0.1,0,0,14.4,4,1,2019
169,1/4/2019,charlotte,mecklenburg,NC,35.19635135,-80.82810811,33.6,1023.8,21,42.9,6.9,-8,0,3.3,0,0,0,6.8,4,1,2019
170,1/4/2019,chicago,cook,IL,41.85885057,-87.67643678,28.1,1021.9,29,60.2,5,-4,11.2,4.4,3,1.5,19,10.5,4,1,2019
171,1/4/2019,columbia,richland,SC,34.01181818,-81.01333333,0,1023.3,0,41.7,8.8,0,0,2.3,0,0,0,6,4,1,2019
172,1/4/2019,columbus,franklin,OH,39.98804348,-82.97978261,34.4,1025.8,21,60,0.8,0,6.5,1.1,1.2,0,0,3.3,4,1,2019
173,1/4/2019,dallas,dallas,TX,32.79677966,-96.78355932,27.2,1022.3,32,56.3,8.6,-2,0,1.5,0,0,0,4.5,4,1,2019
